ERROR|COMPILE_TIME_ERROR|UNDEFINED_FUNCTION|/home/hermes/overmind_flutter/lib/src/theme.dart|42|16|13|The function 'CardThemeData' isn't defined.
INFO|LINT|PREFER_CONST_CONSTRUCTORS|/home/hermes/overmind_flutter/lib/src/game/mental_games.dart|90|13|17|Use 'const' with the constructor to improve performance.
INFO|LINT|PREFER_CONST_CONSTRUCTORS|/home/hermes/overmind_flutter/lib/src/game/mental_games.dart|106|13|17|Use 'const' with the constructor to improve performance.
INFO|LINT|PREFER_CONST_CONSTRUCTORS|/home/hermes/overmind_flutter/lib/src/screens/game_screen.dart|83|18|29|Use 'const' with the constructor to improve performance.
INFO|LINT|PREFER_CONST_CONSTRUCTORS|/home/hermes/overmind_flutter/lib/src/screens/home_screen.dart|63|9|847|Use 'const' with the constructor to improve performance.
INFO|LINT|PREFER_CONST_CONSTRUCTORS|/home/hermes/overmind_flutter/lib/src/screens/home_screen.dart|64|18|809|Use 'const' with the constructor to improve performance.
INFO|LINT|PREFER_CONST_LITERALS_TO_CREATE_IMMUTABLES|/home/hermes/overmind_flutter/lib/src/screens/home_screen.dart|66|23|708|Use 'const' literals as arguments to constructors of '@immutable' classes.
INFO|LINT|PREFER_CONST_CONSTRUCTORS|/home/hermes/overmind_flutter/lib/src/screens/home_screen.dart|67|15|677|Use 'const' with the constructor to improve performance.
INFO|LINT|PREFER_CONST_CONSTRUCTORS|/home/hermes/overmind_flutter/lib/src/screens/home_screen.dart|68|17|288|Use 'const' with the constructor to improve performance.
INFO|LINT|PREFER_CONST_LITERALS_TO_CREATE_IMMUTABLES|/home/hermes/overmind_flutter/lib/src/screens/home_screen.dart|69|29|231|Use 'const' literals as arguments to constructors of '@immutable' classes.
INFO|LINT|PREFER_CONST_CONSTRUCTORS|/home/hermes/overmind_flutter/lib/src/screens/home_screen.dart|71|21|138|Use 'const' with the constructor to improve performance.
INFO|LINT|PREFER_CONST_CONSTRUCTORS|/home/hermes/overmind_flutter/lib/src/screens/home_screen.dart|73|30|40|Use 'const' with the constructor to improve performance.
INFO|LINT|PREFER_CONST_CONSTRUCTORS|/home/hermes/overmind_flutter/lib/src/screens/levels_mind_screen.dart|78|33|115|Use 'const' with the constructor to improve performance.
INFO|LINT|PREFER_CONST_CONSTRUCTORS|/home/hermes/overmind_flutter/lib/src/screens/levels_mind_screen.dart|79|35|46|Use 'const' with the constructor to improve performance.
INFO|LINT|PREFER_CONST_CONSTRUCTORS|/home/hermes/overmind_flutter/lib/src/screens/levels_mind_screen.dart|88|32|53|Use 'const' with the constructor to improve performance.
INFO|LINT|PREFER_CONST_CONSTRUCTORS|/home/hermes/overmind_flutter/lib/src/screens/levels_mind_screen.dart|88|55|29|Use 'const' with the constructor to improve performance.
